,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Time_Category
11925,Thursday,31-50,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,No distancing,Slight Injury,night
11926,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,night
11927,Monday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to pedestrian,Serious Injury,afternoon
11928,Monday,Over 51,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Not a Pedestrian,Driving carelessly,Serious Injury,afternoon
11929,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Serious Injury,morning
11930,Friday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Cloudy,Vehicle with vehicle collision,1,1,Reversing,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,afternoon
11931,Friday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,afternoon
11932,Thursday,31-50,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,evening
11933,Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,afternoon
11934,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Other,Slight Injury,afternoon
11935,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
11936,Tuesday,31-50,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,afternoon
11937,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Serious Injury,afternoon
11938,Tuesday,18-30,Male,Elementary school,Other,5-10yr,Public (12 seats),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,afternoon
11939,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Overturning,Slight Injury,afternoon
11940,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,18-30,2,Not a Pedestrian,Driving at high speed,Fatal injury,afternoon
11941,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
11942,Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,morning
11943,Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
11944,Friday,Over 51,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Other,Slight Injury,afternoon
11945,Friday,Over 51,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Other,Slight Injury,afternoon
11946,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Reversing,Passenger,Female,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,afternoon
11947,Thursday,31-50,Male,Elementary school,Owner,2-5yr,Long lorry,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,afternoon
11948,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,afternoon
11949,Sunday,Under 18,Male,Junior high school,Employee,Below 1yr,Public (> 45 seats),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
11950,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,morning
11951,Sunday,31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,morning
11952,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,morning
11953,Monday,Over 51,Male,Elementary school,Employee,1-2yr,Other,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,morning
11954,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Serious Injury,night
11955,Thursday,31-50,Male,Above high school,Employee,1-2yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Cloudy,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,31-50,3,Crossing from driver's nearside,Driving carelessly,Slight Injury,night
11956,Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Rollover,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,evening
11957,Friday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,evening
11958,Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
11959,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,1,2,Reversing,Driver or rider,Male,5,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,afternoon
11960,Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Organization,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
11961,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,morning
11962,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,na,na,na,na,Not a Pedestrian,Turnover,Serious Injury,morning
11963,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Turbo,Owner, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving to the left,Slight Injury,evening
11964,Wednesday,Unknown,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,evening
11965,Thursday,31-50,Male,Above high school,Owner,1-2yr,Other,Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,morning
11966,Thursday,Over 51,Female,Above high school,Employee,No Licence,Stationwagen,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,morning
11967,Friday,31-50,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,evening
11968,Friday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,Driving carelessly,Slight Injury,evening
11969,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Governmental,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Reversing,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
11970,Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Other,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,evening
11971,Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,evening
11972,Tuesday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Serious Injury,evening
11973,Friday,31-50,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Governmental,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,afternoon
